3 100000
0 0.001 1 0.001 0 0
0 14.501 0.42002 14.501 -nan -nan
0 14.601 0.41602 14.601 -nan -nan
0 14.701 0.41202 14.701 -nan -nan
0 14.801 0.40802 14.801 -nan -nan
0 14.901 0.40402 14.901 -nan -nan
0 15.001 0.40002 15.001 -nan -nan
0 15.101 0.39602 15.101 -nan -nan
0 15.201 0.39202 15.201 -nan -nan
0 15.301 0.38802 15.301 -nan -nan
0 15.401 0.38402 15.401 -nan -nan
0 15.501 0.38002 15.501 -nan -nan
0 15.601 0.37602 15.601 -nan -nan
0 15.701 0.37202 15.701 -nan -nan
0 15.801 0.36802 15.801 -nan -nan
0 15.901 0.36402 15.901 -nan -nan
0 16.001 0.36002 16.001 -nan -nan
0 16.101 0.35602 16.101 -nan -nan
0 16.201 0.35202 16.201 -nan -nan
0 16.301 0.34802 16.301 -nan -nan
0 16.401 0.34402 16.401 -nan -nan
0 16.501 0.34002 16.501 -nan -nan
0 16.601 0.33602 16.601 -nan -nan
0 16.701 0.33202 16.701 -nan -nan
0 16.801 0.32802 16.801 -nan -nan
0 16.901 0.32402 16.901 -nan -nan
0 17.001 0.32002 17.001 -nan -nan
0 17.101 0.31602 17.101 -nan -nan
0 17.201 0.31202 17.201 -nan -nan
0 17.301 0.30802 17.301 -nan -nan
0 17.401 0.30402 17.401 -nan -nan
0 17.501 0.30002 17.501 -nan -nan
0 17.601 0.29602 17.601 -nan -nan
0 17.701 0.29202 17.701 -nan -nan
0 17.801 0.28802 17.801 -nan -nan
0 17.901 0.28402 17.901 -nan -nan
0 18.001 0.28002 18.001 -nan -nan
0 18.101 0.27602 18.101 -nan -nan
0 18.201 0.27202 18.201 -nan -nan
0 18.301 0.26802 18.301 -nan -nan
0 18.401 0.26402 18.401 -nan -nan
0 18.501 0.26002 18.501 -nan -nan
0 18.601 0.25602 18.601 -nan -nan
0 18.701 0.25202 18.701 -nan -nan
0 18.801 0.24802 18.801 -nan -nan
0 18.901 0.24402 18.901 -nan -nan
0 19.001 0.24002 19.001 -nan -nan
0 19.101 0.23602 19.101 -nan -nan
0 19.201 0.23202 19.201 -nan -nan
0 19.301 0.22802 19.301 -nan -nan
0 19.401 0.22402 19.401 -nan -nan
0 19.501 0.22002 19.501 -nan -nan
0 19.601 0.21602 19.601 -nan -nan
0 19.701 0.21202 19.701 -nan -nan
0 19.801 0.20802 19.801 -nan -nan
0 19.901 0.20402 19.901 -nan -nan
0 20.001 0.20002 20.001 -nan -nan
0 20.101 0.19602 20.101 -nan -nan
0 20.201 0.19202 20.201 -nan -nan
0 20.301 0.18802 20.301 -nan -nan
0 20.401 0.18402 20.401 -nan -nan
0 20.501 0.18002 20.501 -nan -nan
0 20.601 0.17602 20.601 -nan -nan
0 20.701 0.17202 20.701 -nan -nan
0 20.801 0.16802 20.801 -nan -nan
0 20.901 0.16402 20.901 -nan -nan
0 21.001 0.16002 21.001 -nan -nan
0 21.101 0.15602 21.101 -nan -nan
0 21.201 0.15202 21.201 -nan -nan
0 21.301 0.14802 21.301 -nan -nan
0 21.401 0.14402 21.401 -nan -nan
0 21.501 0.14002 21.501 -nan -nan
0 21.601 0.13602 21.601 -nan -nan
0 21.701 0.13202 21.701 -nan -nan
0 21.801 0.12802 21.801 -nan -nan
0 21.901 0.12402 21.901 -nan -nan
0 22.001 0.12002 22.001 -nan -nan
0 22.101 0.11602 22.101 -nan -nan
0 22.201 0.11202 22.201 -nan -nan
0 22.301 0.10802 22.301 -nan -nan
0 22.401 0.10402 22.401 -nan -nan
0 22.501 0.10002 22.501 -nan -nan
0 22.601 0.09602 22.601 -nan -nan
0 22.701 0.09202 22.701 -nan -nan
