2.96E+06	3.06797
2.96E+06	2.91002
2.96E+06	2.70088
2.97E+06	2.45553
2.97E+06	2.13344
2.98E+06	1.9461
2.98E+06	1.72392
2.98E+06	1.53995
2.99E+06	1.39662
2.99E+06	1.29115
3.00E+06	1.21788
3.00E+06	1.17074
3.01E+06	1.12977
3.02E+06	1.15041
3.03E+06	1.19764
3.06E+06	1.37248
3.08E+06	1.48247
3.10E+06	1.58257
3.12E+06	1.67438
3.15E+06	1.80013
3.18E+06	1.91538
3.20E+06	1.99037
3.24E+06	2.12847
3.28E+06	2.25486
3.32E+06	2.36776
3.36E+06	2.46436
3.39E+06	2.52388
3.42E+06	2.57287
3.45E+06	2.60828
3.48E+06	2.63237
3.51E+06	2.64258
3.52E+06	2.64416
3.56E+06	2.63526
3.60E+06	2.60806
3.64E+06	2.56536
3.70E+06	2.47947
3.76E+06	2.37617
3.94E+06	2.03669
4.00E+06	1.93209
4.04E+06	1.8714
4.07E+06	1.835
4.09E+06	1.818
4.11E+06	1.8098
4.13E+06	1.81238
4.14E+06	1.82331
4.15E+06	1.83721
4.16E+06	1.85722
4.17E+06	1.88392
4.18E+06	1.91752
4.19E+06	1.95791
4.20E+06	2.0043
4.23E+06	2.15584
4.24E+06	2.19873
4.25E+06	2.23181
4.26E+06	2.25271
4.27E+06	2.26081
4.28E+06	2.25672
4.29E+06	2.24214
4.30E+06	2.21944
4.32E+06	2.15846
4.37E+06	1.9854
4.40E+06	1.8933
4.43E+06	1.81443
4.46E+06	1.7454
4.50E+06	1.6677
4.54E+06	1.60149
4.58E+06	1.54378
4.64E+06	1.46878
4.70E+06	1.40358
4.85E+06	1.26001
4.90E+06	1.22307
4.92E+06	1.23903
4.93E+06	1.34035
4.93E+06	1.34571
4.93E+06	1.35706
4.93E+06	1.37694
4.93E+06	1.41484
4.94E+06	1.66944
4.94E+06	1.70943
4.94E+06	1.74837
4.94E+06	1.91978
4.94E+06	1.94542
4.94E+06	1.96041
4.94E+06	1.96293
4.94E+06	1.94324
4.94E+06	1.93455
4.94E+06	1.91228
4.94E+06	1.7578
4.94E+06	1.7292
4.94E+06	1.61719
4.94E+06	1.42824
4.94E+06	1.4135
4.95E+06	1.27887
4.95E+06	1.23021
4.96E+06	1.20741
5.00E+06	1.12117
5.00E+06	1.1317
5.03E+06	1.11764
5.05E+06	1.11548
5.10E+06	1.09183
5.12E+06	1.04902
5.15E+06	1.06297
5.18E+06	1.04319
5.20E+06	1.02079
5.23E+06	1.00477
5.28E+06	0.96546
5.30E+06	0.957144
5.33E+06	0.933278
5.34E+06	0.962207
5.34E+06	0.923777
5.34E+06	0.930916
5.36E+06	1.45264
5.36E+06	1.46594
5.36E+06	1.49241
5.36E+06	1.67645
5.36E+06	1.69201
5.36E+06	1.70286
5.37E+06	1.82255
